title;artist;album;isrc;addedDate;addedBy;duration;url
"Boris Borisson's Trip To Morrisons (Edit)";Dusky;"Life Signs Vol. 1";DEVY91900104;"2020-07-05 00:21";1218037846;203s;https://open.spotify.com/track/6Bc9CeLnFLmBhqTiNelyjm
"The Bomb";"Big Miz";"The Bomb EP";GBQLP1601082;"2020-07-05 00:21";1218037846;454s;https://open.spotify.com/track/6cnA5RLORugKvIWuOhinth
Emotion;"Purple Disco Machine";"Emotion EP";AUDCB1701421;"2020-07-05 00:21";1218037846;185s;https://open.spotify.com/track/2CiOFdudXTfZfsd1lZqrhR
"Ring My Bell";"Anita Ward";"Ring My Bell";USSZ10503009;"2020-07-05 00:22";1218037846;492s;https://open.spotify.com/track/7GK2KVYH8FrTC9zehmjVMd
"Don't Start Now - Purple Disco Machine Remix";"Dua Lipa, Purple Disco Machine";"Don't Start Now (Purple Disco Machine Remix)";GBAHT1901159;"2020-07-05 00:23";1218037846;217s;https://open.spotify.com/track/1lkzEemm8wtJCL4mvCxLga
"Problèmes d'Amour - Original";"Alexander Robotnick";"Problèmes D'amour (All Versions)";ITF708314101;"2020-07-05 00:24";1218037846;421s;https://open.spotify.com/track/4xeQXFdKrNPQcGyze66bIx
"D.A.N.C.E. (WWW)";Justice;"Woman Worldwide";FR8EU1800020;"2020-07-05 00:24";1218037846;196s;https://open.spotify.com/track/0LpnNgvF6z5HJYAgLClfMB
"Where's Jason's K";Syclops;"I've Got My Eye on You";TCADO1845129;"2020-07-05 00:24";1218037846;399s;https://open.spotify.com/track/5nUfbXGXSULNLxJyndR5iB
"Even My Cigarettes Taste Like You";"Bryan Kessler";"Bryan Kessler “Rough Club Poetry” (Now Now Now 10)";GBJX35016151;"2020-07-05 00:25";1218037846;312s;https://open.spotify.com/track/3sox3tsJ42Uq6Rjg4yZquH
"Party Like You're Not Alive";"Bryan Kessler";"Party Like You're Not Alive";PLE071911005;"2020-07-05 00:25";1218037846;240s;https://open.spotify.com/track/4IFvkaY2EucOH8FXXVaZvb
"Provol Eto";"Robag Wruhme";"Wuzzelbud FF";DEMM11800031;"2020-07-05 00:26";1218037846;416s;https://open.spotify.com/track/3KCkT2jynJKSztCMBVk12w
Shortwave;"Rex The Dog";Teufelsberg;DEU671600159;"2020-07-05 00:26";1218037846;407s;https://open.spotify.com/track/6OpJGsiOSj4T1xU92bKXY8
Mistakes;"The Martinez Brothers";Mistakes;GBEXH1900530;"2020-07-05 00:26";1218037846;396s;https://open.spotify.com/track/1IDXpxtldEJNMxHHR0Btld
"Make Luv";"Room 5, Oliver Cheatham";"Music & You";BEP010310109;"2020-07-05 00:27";1218037846;212s;https://open.spotify.com/track/5HFPfp2p6V4pycGKaIMlIH
"Generator - Edit";"Sacha Robotti";"Welcome To Slothacid";GBKQU1966668;"2020-07-05 00:27";1218037846;240s;https://open.spotify.com/track/0jDtGQ7hIiH46a5fZ6CD01
"Goodbye Seventies";Yaz;"Upstairs At Eric's";GBAJH0100181;"2020-07-05 00:27";1218037846;157s;https://open.spotify.com/track/72TcMsVMm8ej4gpYGEYk72
"Don't Turn It Off";"40 Thieves, Qzen";"Mixmag Presents Jamie Jones vs. Seth Troxler";DECY60800011;"2020-07-05 00:28";1218037846;278s;https://open.spotify.com/track/2DE4u2kVytbBjrTIfdfPUz
